uniprot_id,protein_name,organism,organism_id,gene_name,length,function
A0A088FR32,A0A088FR32_JATCU Casbene synthase 1,Jatropha curcas,180498,,601,
A0A089XB00,A0A089XB00_STRGA Terpene synthase,Streptomyces glaucescens,1907,SGLAU_26100,725,
A0A089XEX4,A0A089XEX4_STRGA Terpene synthase,Streptomyces glaucescens,1907,SGLAU_22460,307,
A0A089XL65,A0A089XL65_STRGA Terpene synthase,Streptomyces glaucescens,1907,SGLAU_29930,343,
A0A090CLS4,A0A090CLS4_PODAN Terpene synthase,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383),515849,,330,
A0A093UPF6,A0A093UPF6_TALMA Terpene synthase,Talaromyces marneffei PM1,1077442,GQ26_0480440,388,
A0A097CS99,A0A097CS99_9ACTN Terpene synthase,Verrucosispora sp. MS100047,1410949,VASRM7_291,310,
A0A097CSG2,A0A097CSG2_9ACTN Terpene synthase,Verrucosispora sp. MS100047,1410949,VASRM7_356,408,
A0A097ZQA4,A0A097ZQA4_9ACTN Terpene synthase,Streptomyces lactacystinaeus,1332838,slt18_1880,325,
A0A097ZQB9,A0A097ZQB9_9ACTN Terpene synthase,Streptomyces lactacystinaeus,1332838,slt18_1718,336,
A0A097ZQC3,A0A097ZQC3_9ACTN Terpene synthase,Streptomyces cyaneogriseus subsp. noncyanogenus,477245,scya_00859,338,
A0A097ZQD7,A0A097ZQD7_9ACTN Terpene synthase,Streptomyces sp. SK 1894,1533813,sspsk6539,727,
A0A097ZQD8,A0A097ZQD8_9ACTN Terpene synthase,Streptomyces lactacystinaeus,1332838,slt18_1246,315,
A0A097ZQD9,A0A097ZQD9_9ACTN Terpene synthase,Streptomyces cyaneogriseus subsp. noncyanogenus,477245,scya_02852,342,
A0A097ZQE1,A0A097ZQE1_9ACTN Terpene synthase,Streptomyces cyaneogriseus subsp. noncyanogenus,477245,scya_02397,735,
A0A097ZQE2,A0A097ZQE2_9ACTN Terpene synthase,Streptomyces sp. ND90,1533814,nd90_2698,744,
A0A097ZQE5,A0A097ZQE5_9ACTN Terpene synthase,Streptomyces sp. ND90,1533814,nd90_0246,341,
A0A098DDE7,A0A098DDE7_GIBZE Terpene synthase,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),229533,FGRAMPH1_01T09299,402,
A0A0A0NRS4,A0A0A0NRS4_STRRN Terpene synthase,Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994),1343740,D3C57_100275,366,
A0A0A1DZ67,A0A0A1DZ67_9CONI Alpha-pinene synthase,Pinus kesiya var. langbianensis,1504333,,624,
A0A0A1TK67,A0A0A1TK67_9HYPO Terpene synthase,[Torrubiella] hemipterigena,1531966,VHEMI06873,341,
A0A0A1TMX2,A0A0A1TMX2_9HYPO Terpene synthase,[Torrubiella] hemipterigena,1531966,VHEMI08273,391,
A0A0A1ULM2,A0A0A1ULM2_9AGAM Terpene synthase,Rhizoctonia solani AG-3 Rhs1AP,1086054,RSOL_312180,349,
A0A0A1UQD2,A0A0A1UQD2_9HYPO Terpene synthase,Metarhizium robertsii,568076,X797_009677,355,
A0A0A2L9S1,A0A0A2L9S1_PENIT Terpene synthase,Penicillium italicum,40296,PITC_047610,242,
A0A0A7ANG5,A0A0A7ANG5_SALMI Copalyl diphosphate synthase 3,Salvia miltiorrhiza f. alba,424422,CPS3,794,
A0A0A7ANT1,A0A0A7ANT1_SALMI Copalyl diphosphate synthase,Salvia miltiorrhiza f. alba,424422,CPS2,798,
A0A0A7DLG5,A0A0A7DLG5_TAICR Terpene synthase,Taiwania cryptomerioides,50187,,607,
A0A0A7DLU1,A0A0A7DLU1_TAICR Terpene synthase,Taiwania cryptomerioides,50187,,606,
A0A0B0MEU3,A0A0B0MEU3_GOSAR Delta-cadinene synthase isozyme XC14,Gossypium arboreum,29729,F383_36915,103,
A0A0B0MMK3,A0A0B0MMK3_GOSAR Delta-cadinene synthase isozyme XC14,Gossypium arboreum,29729,F383_20653,249,
A0A0B0MPF8,A0A0B0MPF8_GOSAR Delta-cadinene synthase isozyme XC1,Gossypium arboreum,29729,F383_28989,314,
A0A0B0MYP5,A0A0B0MYP5_GOSAR Delta-cadinene synthase isozyme XC14,Gossypium arboreum,29729,F383_31490,253,
A0A0B0NUT1,A0A0B0NUT1_GOSAR Delta-cadinene synthase isozyme XC1,Gossypium arboreum,29729,F383_22358,762,
A0A0B0P5M5,A0A0B0P5M5_GOSAR (+)-delta-cadinene synthase isozyme A,Gossypium arboreum,29729,F383_26549,200,
A0A0B0PLU8,A0A0B0PLU8_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_34537,314,
A0A0B2WL59,A0A0B2WL59_METAS Terpene synthase family protein,Metarhizium album (strain ARSEF 1941),1081103,MAM_08406,1009,
A0A0B2WLK7,A0A0B2WLK7_METAS Terpenoid cylases/protein prenyltransferase alpha-alpha toroid,Metarhizium album (strain ARSEF 1941),1081103,MAM_08265,550,
A0A0B4GR36,A0A0B4GR36_METGA Terpene synthase,Metarhizium guizhouense (strain ARSEF 977),1276136,MGU_07703,326,
A0A0B4HP62,"A0A0B4HP62_METGA Ent-kaurene synthase, fungal",Metarhizium guizhouense (strain ARSEF 977),1276136,MGU_11410,934,
A0A0B4KE90,A0A0B4KE90_9ROSI Casbene synthase,Euphorbia fischeriana,1035560,,602,
A0A0B5DGT4,A0A0B5DGT4_9ACTN Terpene synthase,Streptomyces nodosus,40318,SNOD_22150,337,
A0A0B5DR23,A0A0B5DR23_9ACTN Terpene synthase,Streptomyces nodosus,40318,CP978_29965,343,
A0A0B5DSQ1,A0A0B5DSQ1_9ACTN Terpene synthase,Streptomyces nodosus,40318,CP978_26325,739,
A0A0B5EJL4,A0A0B5EJL4_STRA4 Terpene synthase,Streptomyces albus (strain ATCC 21838 / DSM 41398 / FERM P-419 / JCM 4703 / NBRC 107858),1081613,SLNWT_2072,363,
A0A0B5EPE5,A0A0B5EPE5_STRA4 Terpene synthase,Streptomyces albus (strain ATCC 21838 / DSM 41398 / FERM P-419 / JCM 4703 / NBRC 107858),1081613,SLNWT_0774,737,
A0A0B5HN83,A0A0B5HN83_9ACTN Terpene synthase,Streptomyces vietnamensis,362257,SVTN_02895,732,
A0A0B7F5U3,A0A0B7F5U3_THACB Terpene synthase,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14),1108050,RSOLAG1IB_05988,358,
A0A0B7F5Z2,A0A0B7F5Z2_THACB Terpene synthase,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14),1108050,RSOLAG1IB_06038,361,
A0A0B7F7L8,A0A0B7F7L8_THACB Terpene synthase,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14),1108050,RSOLAG1IB_05967,379,
A0A0B7FJ33,A0A0B7FJ33_THACB Terpene synthase,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14),1108050,RSOLAG1IB_02393,339,
A0A0B7FJJ6,A0A0B7FJJ6_THACB Terpene synthase,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14),1108050,RSOLAG1IB_07799,358,
A0A0B7JSZ7,A0A0B7JSZ7_BIOOC Terpene synthase,Bionectria ochroleuca,29856,BN869_000002452_1,321,
A0A0B8N2Z4,A0A0B8N2Z4_TALPI Uncharacterized protein,Talaromyces pinophilus,128442,TCE0_016f03191,788,
A0A0C1RGM3,A0A0C1RGM3_9CYAN Terpene synthase,Tolypothrix bouteillei VB521301,1479485,DA73_0223055,322,
A0A0C2CZ05,A0A0C2CZ05_9BACT Terpene synthase,Enhygromyxa salina,215803,DB30_00562,333,
A0A0C2D6J8,A0A0C2D6J8_9BACT Terpene synthase,Enhygromyxa salina,215803,DB30_03568,312,
A0A0C2JCJ2,A0A0C2JCJ2_9ACTN Terpene synthase,Streptomonospora alba,183763,LP52_23810,751,
A0A0C2S7R3,A0A0C2S7R3_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_181109,345,
A0A0C2TBV9,A0A0C2TBV9_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_78547,345,
A0A0C2TFL3,A0A0C2TFL3_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_161967,349,
A0A0C2TFR0,A0A0C2TFR0_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_457656,338,
A0A0C2TIU5,A0A0C2TIU5_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_74746,380,
A0A0C2WYK7,A0A0C2WYK7_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_9922,393,
A0A0C2X3B6,A0A0C2X3B6_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_186936,332,
A0A0C2X6N7,A0A0C2X6N7_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_186710,337,
A0A0C2XC08,A0A0C2XC08_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_9915,350,
A0A0C2XCN2,A0A0C2XCN2_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_74452,364,
A0A0C2XDG1,A0A0C2XDG1_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_9904,325,
A0A0C2YLE7,A0A0C2YLE7_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_27416,389,
A0A0C2Z0L8,A0A0C2Z0L8_9AGAM Terpene synthase,Scleroderma citrinum Foug A,1036808,SCLCIDRAFT_134791,340,
A0A0C3AA64,A0A0C3AA64_9AGAM Terpene synthase,Scleroderma citrinum Foug A,1036808,SCLCIDRAFT_12509,340,
A0A0C3AI29,A0A0C3AI29_PILCF Terpene synthase,Piloderma croceum (strain F 1598),765440,PILCRDRAFT_81088,345,
A0A0C3AK51,A0A0C3AK51_PILCF Terpene synthase,Piloderma croceum (strain F 1598),765440,PILCRDRAFT_14594,360,
A0A0C3BDC0,A0A0C3BDC0_PILCF Terpene synthase,Piloderma croceum (strain F 1598),765440,PILCRDRAFT_98986,341,
A0A0C3BTJ5,A0A0C3BTJ5_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_415200,345,
A0A0C3BUK7,A0A0C3BUK7_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_32803,341,
A0A0C3BYC4,A0A0C3BYC4_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_290216,340,
A0A0C3C502,A0A0C3C502_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_443011,350,
A0A0C3CSW2,A0A0C3CSW2_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_7659,346,
A0A0C3CX10,A0A0C3CX10_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_83524,355,
A0A0C3D697,A0A0C3D697_OIDMZ Terpene synthase,Oidiodendron maius (strain Zn),913774,OIDMADRAFT_107833,337,
A0A0C3D877,A0A0C3D877_9AGAM Terpene synthase,Scleroderma citrinum Foug A,1036808,SCLCIDRAFT_131396,343,
A0A0C3DWK0,A0A0C3DWK0_9AGAM Terpene synthase,Scleroderma citrinum Foug A,1036808,SCLCIDRAFT_1217071,337,
A0A0C3EBA9,A0A0C3EBA9_9AGAM Terpene synthase,Scleroderma citrinum Foug A,1036808,SCLCIDRAFT_1207283,338,
A0A0C3EMW0,A0A0C3EMW0_PILCF Terpene synthase,Piloderma croceum (strain F 1598),765440,PILCRDRAFT_828668,341,
A0A0C3ES55,A0A0C3ES55_9AGAM Terpene synthase,Scleroderma citrinum Foug A,1036808,SCLCIDRAFT_100351,340,
A0A0C3FXZ0,A0A0C3FXZ0_PILCF Terpene synthase,Piloderma croceum (strain F 1598),765440,PILCRDRAFT_779936,379,
A0A0C3GII5,A0A0C3GII5_PILCF Terpene synthase,Piloderma croceum (strain F 1598),765440,PILCRDRAFT_810716,348,
A0A0C3J860,A0A0C3J860_PISTI Terpene synthase,Pisolithus tinctorius Marx 270,870435,M404DRAFT_170039,339,
A0A0C3JD48,A0A0C3JD48_PISTI Terpene synthase,Pisolithus tinctorius Marx 270,870435,M404DRAFT_137874,341,
A0A0C3K2C9,A0A0C3K2C9_PISTI Terpene synthase,Pisolithus tinctorius Marx 270,870435,M404DRAFT_26981,343,
A0A0C3K2Z9,A0A0C3K2Z9_PISTI Terpene synthase,Pisolithus tinctorius Marx 270,870435,M404DRAFT_1001022,331,
A0A0C3KVC0,A0A0C3KVC0_PISTI Terpene synthase,Pisolithus tinctorius Marx 270,870435,M404DRAFT_6500,238,
A0A0C3MF69,A0A0C3MF69_9AGAM Terpene synthase,Tulasnella calospora MUT 4182,1051891,M407DRAFT_214327,350,
A0A0C3NZ27,A0A0C3NZ27_PISTI Terpene synthase,Pisolithus tinctorius Marx 270,870435,M404DRAFT_29719,339,
A0A0C3PU43,A0A0C3PU43_PHLG1 Terpene synthase,Phlebiopsis gigantea (strain 11061_1 CR5-6),745531,PHLGIDRAFT_114823,335,
A0A0C3PYH8,A0A0C3PYH8_PISTI Terpene synthase,Pisolithus tinctorius Marx 270,870435,M404DRAFT_471194,371,
A0A0C3Q394,A0A0C3Q394_9AGAM Terpene synthase,Tulasnella calospora MUT 4182,1051891,M407DRAFT_78466,360,
A0A0C3S1E3,A0A0C3S1E3_PHLG1 Terpene synthase,Phlebiopsis gigantea (strain 11061_1 CR5-6),745531,PHLGIDRAFT_359064,337,
A0A0C3SA55,A0A0C3SA55_PHLG1 Terpene synthase,Phlebiopsis gigantea (strain 11061_1 CR5-6),745531,PHLGIDRAFT_126738,338,
A0A0C3SA56,A0A0C3SA56_PHLG1 Terpene synthase,Phlebiopsis gigantea (strain 11061_1 CR5-6),745531,PHLGIDRAFT_103744,337,
A0A0C3SCR8,A0A0C3SCR8_PHLG1 Terpene synthase,Phlebiopsis gigantea (strain 11061_1 CR5-6),745531,PHLGIDRAFT_157711,335,
A0A0C3SFH3,A0A0C3SFH3_PHLG1 Terpene synthase,Phlebiopsis gigantea (strain 11061_1 CR5-6),745531,PHLGIDRAFT_367715,352,
A0A0C4DST9,A0A0C4DST9_MAGP6 Uncharacterized protein,Magnaporthiopsis poae (strain ATCC 64411 / 73-15),644358,MAPG_02980,422,
A0A0C5G729,A0A0C5G729_9ACTN Terpene synthase,Streptomyces cyaneogriseus subsp. noncyanogenus,477245,TU94_21765,362,
A0A0C9SKH3,A0A0C9SKH3_PLICR Terpene synthase,Plicaturopsis crispa FD-325 SS-3,944288,PLICRDRAFT_119075,337,
A0A0C9T8N1,A0A0C9T8N1_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_785590,350,
A0A0C9TLN6,A0A0C9TLN6_PAXIN Terpene synthase,Paxillus involutus ATCC 200175,664439,PAXINDRAFT_18633,358,
A0A0C9TPA5,A0A0C9TPA5_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_266350,361,
A0A0C9TVR0,A0A0C9TVR0_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_35110,308,
A0A0C9U4Q5,A0A0C9U4Q5_PAXIN Terpene synthase,Paxillus involutus ATCC 200175,664439,PAXINDRAFT_12806,346,
A0A0C9U7U5,A0A0C9U7U5_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_268074,650,
A0A0C9U9C8,A0A0C9U9C8_PAXIN Terpene synthase,Paxillus involutus ATCC 200175,664439,PAXINDRAFT_180528,341,
A0A0C9UCV1,A0A0C9UCV1_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_184320,341,
A0A0C9UEH9,A0A0C9UEH9_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_255573,330,
A0A0C9UH20,A0A0C9UH20_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_39167,308,
A0A0C9UJC8,A0A0C9UJC8_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_181520,354,
A0A0C9ULQ4,A0A0C9ULQ4_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_55620,351,
A0A0C9UML2,A0A0C9UML2_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_192154,354,
A0A0C9URY4,A0A0C9URY4_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_266313,361,
A0A0C9UV01,A0A0C9UV01_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_264968,347,
A0A0C9UXC5,A0A0C9UXC5_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_36729,308,
A0A0C9V049,A0A0C9V049_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_181402,346,
A0A0C9V059,A0A0C9V059_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_262931,354,
A0A0C9VAH4,A0A0C9VAH4_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_258674,247,
A0A0C9VP74,A0A0C9VP74_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_257469,308,
A0A0C9VRV8,A0A0C9VRV8_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_255948,351,
A0A0C9VRX8,A0A0C9VRX8_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_68403,353,
A0A0C9VSL7,A0A0C9VSL7_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_255906,350,
A0A0C9VUM0,A0A0C9VUM0_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_31051,343,
A0A0C9VYY2,A0A0C9VYY2_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_102325,309,
A0A0C9VYZ4,A0A0C9VYZ4_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_141420,271,
A0A0C9W1C3,A0A0C9W1C3_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_29847,307,
A0A0C9W591,A0A0C9W591_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_95823,340,
A0A0C9W677,A0A0C9W677_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_114453,323,
A0A0C9W8C8,A0A0C9W8C8_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_44104,329,
A0A0C9W9Q2,A0A0C9W9Q2_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_90513,339,
A0A0C9WAC0,A0A0C9WAC0_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_175348,319,
A0A0C9WC33,A0A0C9WC33_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_31043,316,
A0A0C9WD96,A0A0C9WD96_9AGAM Terpene synthase,Hydnomerulius pinastri MD-312,994086,HYDPIDRAFT_93448,346,
A0A0C9WPQ1,A0A0C9WPQ1_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_619353,356,
A0A0C9X1X4,A0A0C9X1X4_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_309839,393,
A0A0C9X2R9,A0A0C9X2R9_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_108732,333,
A0A0C9XH77,A0A0C9XH77_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_99583,334,
A0A0C9XHU2,A0A0C9XHU2_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_675955,372,
A0A0C9XLR7,A0A0C9XLR7_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_681798,334,
A0A0C9Y7V0,A0A0C9Y7V0_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_126876,341,
A0A0C9YJ48,A0A0C9YJ48_9AGAM Terpene synthase,Pisolithus microcarpus 441,765257,PISMIDRAFT_636097,339,
A0A0C9YTI8,A0A0C9YTI8_9AGAM Terpene synthase,Pisolithus microcarpus 441,765257,PISMIDRAFT_111694,333,
A0A0C9YU21,A0A0C9YU21_9AGAM Terpene synthase,Pisolithus microcarpus 441,765257,PISMIDRAFT_685262,343,
A0A0C9Z2V4,A0A0C9Z2V4_9AGAM Terpene synthase,Pisolithus microcarpus 441,765257,PISMIDRAFT_642487,333,
A0A0C9Z4Y6,A0A0C9Z4Y6_9AGAM Terpene synthase,Pisolithus microcarpus 441,765257,PISMIDRAFT_546554,404,
A0A0C9ZVK9,A0A0C9ZVK9_9AGAM Terpene synthase,Pisolithus microcarpus 441,765257,PISMIDRAFT_88043,332,
A0A0D0A2F5,A0A0D0A2F5_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_80413,345,
A0A0D0AAZ5,A0A0D0AAZ5_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_799377,355,
A0A0D0AMJ6,A0A0D0AMJ6_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_23707,336,
A0A0D0ANB7,A0A0D0ANB7_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_181084,344,
A0A0D0AXB7,A0A0D0AXB7_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_808764,320,
A0A0D0B0E0,A0A0D0B0E0_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_81655,319,
A0A0D0B2F6,A0A0D0B2F6_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_172842,921,
A0A0D0B3H6,A0A0D0B3H6_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_71869,326,
A0A0D0B5R8,A0A0D0B5R8_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_184278,365,
A0A0D0B6I4,A0A0D0B6I4_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_10411,318,
A0A0D0B7F3,A0A0D0B7F3_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_10187,177,
A0A0D0BH19,A0A0D0BH19_9AGAR Ent-kaurene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_222353,921,
A0A0D0BLM1,A0A0D0BLM1_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_248492,406,
A0A0D0BNQ0,A0A0D0BNQ0_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_252327,357,
A0A0D0BR28,A0A0D0BR28_9AGAM Terpene synthase,Suillus luteus UH-Slu-Lm8-n1,930992,CY34DRAFT_801563,327,
A0A0D0BTR9,A0A0D0BTR9_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_179557,333,
A0A0D0CC78,A0A0D0CC78_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_47648,354,
A0A0D0CFI1,A0A0D0CFI1_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_775187,331,
A0A0D0CM27,A0A0D0CM27_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_40342,379,
A0A0D0CNG6,A0A0D0CNG6_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_74039,334,
A0A0D0CPQ1,A0A0D0CPQ1_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_172931,920,
A0A0D0DKR5,A0A0D0DKR5_9AGAM Terpene synthase,Paxillus rubicundulus Ve08.2h10,930991,PAXRUDRAFT_612281,343,
A0A0D0DXN7,A0A0D0DXN7_9AGAM Terpene synthase,Paxillus rubicundulus Ve08.2h10,930991,PAXRUDRAFT_642577,346,
A0A0D0E4B0,A0A0D0E4B0_9AGAM Terpene synthase,Paxillus rubicundulus Ve08.2h10,930991,PAXRUDRAFT_23853,338,
A0A0D0E718,A0A0D0E718_9AGAM Terpene synthase,Paxillus rubicundulus Ve08.2h10,930991,PAXRUDRAFT_821157,371,
A0A0D0ECK3,A0A0D0ECK3_9AGAM Terpene synthase,Paxillus rubicundulus Ve08.2h10,930991,PAXRUDRAFT_131931,313,
A0A0D0PXN6,A0A0D0PXN6_KITGR Terpene synthase,Kitasatospora griseola,2064,TR51_32320,730,
A0A0D0WPE8,A0A0D0WPE8_9ACTN Terpene synthase,Micromonospora haikouensis,686309,TK50_24080,315,
A0A0D2LF76,A0A0D2LF76_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_36467,340,
A0A0D2LFF3,A0A0D2LFF3_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_159396,343,
A0A0D2MF24,A0A0D2MF24_GOSRA Terpene synthase metal-binding domain-containing protein,Gossypium raimondii,29730,B456_002G234600,392,
A0A0D2NA50,A0A0D2NA50_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_148365,337,
A0A0D2NAW1,A0A0D2NAW1_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_151315,357,
A0A0D2NH86,A0A0D2NH86_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_148385,344,
A0A0D2NJJ1,A0A0D2NJJ1_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_47068,387,
A0A0D2NZ85,A0A0D2NZ85_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_202683,348,
A0A0D2P388,A0A0D2P388_HYPSF Terpene synthase,Hypholoma sublateritium (strain FD-334 SS-4),945553,HYPSUDRAFT_138166,332,
A0A0D2RF06,A0A0D2RF06_GOSRA Uncharacterized protein,Gossypium raimondii,29730,B456_011G005900,601,
A0A0D2T089,A0A0D2T089_GOSRA Uncharacterized protein,Gossypium raimondii,29730,B456_011G005600,484,
A0A0D2UKB2,A0A0D2UKB2_GOSRA Uncharacterized protein,Gossypium raimondii,29730,B456_011G005600,584,
A0A0D2UM99,A0A0D2UM99_GOSRA Terpene synthase N-terminal domain-containing protein,Gossypium raimondii,29730,B456_011G005800,190,
A0A0D2VGI0,A0A0D2VGI0_GOSRA Uncharacterized protein,Gossypium raimondii,29730,B456_011G005700,462,
A0A0D2ZRH5,A0A0D2ZRH5_BRAOL Terpene synthase N-terminal domain-containing protein,Brassica oleracea var. oleracea,109376,,361,
A0A0D3A4K7,A0A0D3A4K7_BRAOL Terpene synthase metal-binding domain-containing protein,Brassica oleracea var. oleracea,109376,,466,
